visita_id,preso_id,preso_documento,preso_nombres,preso_apellidos,preso_fecha_nacimiento,preso_delito,preso_estado,preso_celda,preso_patio,preso_fecha_ingreso,visitante_nombre,visitante_documento,visita_fecha,visita_hora,visita_estado,visita_motivo_denegacion,guardia_id,guardia_documento,guardia_nombres,guardia_apellidos,guardia_rango,guardia_turno,guardia_patio,guardia_zona,guardia_estado,hubo_incidente,incidente_id,incidente_tipo,incidente_descripcion,incidente_fecha,incidente_hora,incidente_estado
1,125,777703980,Wilson,Guerrero Romero,1993-07-01,Homicidio,SINDICADO,A026,Patio 1,2022-06-27,Paola Lopez,108253947,2024-11-14,12:00:00,APROBADA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
2,53,101815992,Beatriz,Buitrago Mora,1992-04-09,Terrorismo,CONDENADO,B011,Patio 3,2022-06-02,Patricia Buitrago,855561271,2023-08-05,20:15:00,PERMITIDA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,SI,1,Intento de fuga,El interno agredió al visitante durante el tiempo de visita,2023-08-05,15:45:00,EN_PROCESO
3,59,404713332,Olga,Vega Lozano,1987-10-11,Porte ilegal de armas,ACTIVO,E033,Patio 2,2021-09-27,Dario Gonzalez,568387228,2024-07-26,21:30:00,APROBADA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
4,5,507943839,Miguel,Reyes Reyes,1987-01-30,Secuestro,CONDENADO,E027,Patio 4,2020-09-12,Xiomara Chavez,861818706,2023-03-21,21:30:00,RECHAZADA,Preso en aislamiento,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
5,107,919382051,Cesar,Castro Parra,1983-04-12,Concierto para delinquir,SINDICADO,B032,Patio 2,2022-06-11,Miguel Herrera,567804106,2023-04-28,14:00:00,PERMITIDA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,SI,2,Incendio provocado,El preso intentó sobornar al guardia durante la supervisión,2023-04-28,21:30:00,PENDIENTE
6,103,795392488,Rafael,Aguilar Flores,1963-03-15,Trafico de estupefacientes,ACTIVO,B039,Patio 5,2021-08-14,Maria Romero,457629711,2023-03-22,14:30:00,PENDIENTE,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
7,44,996139578,Claudia,Cano Montoya,1966-08-23,Lavado de activos,ACTIVO,B039,Patio 3,2020-03-22,Olga Moreno,1072727126,2024-06-06,18:00:00,CANCELADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
8,90,477753674,Edison,Diaz Aguilar,1973-10-02,Secuestro,ACTIVO,E025,Patio 2,2021-10-08,Jairo Martinez,290209201,2024-10-22,21:15:00,APROBADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,SI,3,Huelga de hambre,El visitante intentó pasar un objeto no permitido al preso,2024-10-22,10:15:00,RESUELTO
9,127,562446417,Rafael,Herrera Salcedo,1978-06-26,Estafa,CONDENADO,B007,Patio 2,2020-12-24,Jairo Lozano,770575153,2024-07-31,20:45:00,DENEGADA,Cupo maximo alcanzado,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
10,83,289125618,Jhon,Salcedo Pineda,1972-02-12,Estafa,CONDENADO,D018,Patio 4,2022-08-10,Mario Aguilar,735032128,2023-06-04,15:00:00,FINALIZADA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
