guardia_doc,guardia_nombres,guardia_apellidos,guardia_rango,guardia_turno,guardia_patio
20000001,Maria Elena,Lopez Fuentes,GUARDIA,MAÑANA,1
20000002,Ana Lucia,Garcia Torres,SUBOFICIAL,TARDE,2
20000003,Carmen Rosa,Martinez Vargas,GUARDIA,NOCHE,3
20000004,Patricia Isabel,Rodriguez Castro,OFICIAL,MAÑANA,1
20000005,Sandra Milena,Hernandez Leon,GUARDIA,TARDE,2
20000006,Claudia Beatriz,Jimenez Suarez,SUBOFICIAL,NOCHE,3
20000007,Monica Patricia,Diaz Flores,GUARDIA,MAÑANA,1
20000008,Adriana Cecilia,Reyes Huanca,OFICIAL,TARDE,2
20000009,Veronica Alejandra,Cruz Mamani,GUARDIA,NOCHE,3
20000010,Liliana Fernanda,Morales Condori,SUBOFICIAL,MAÑANA,1
20000011,Gabriela Esperanza,Romero Quispe,GUARDIA,TARDE,2
20000012,Natalia Beatriz,Torres Paredes,OFICIAL,NOCHE,3
20000013,Carolina Andrea,Flores Vargas,GUARDIA,MAÑANA,1
20000014,Susana Maria,Vega Castro,SUBOFICIAL,TARDE,2
20000015,Marcela Ines,Chavez Leon,GUARDIA,NOCHE,3
20000016,Rocio Alejandra,Mendez Suarez,OFICIAL,MAÑANA,1
20000017,Laura Cristina,Gutierrez Flores,GUARDIA,TARDE,2
20000018,Silvia Andrea,Herrera Huanca,SUBOFICIAL,NOCHE,3
20000019,Andrea Carolina,Salinas Mamani,GUARDIA,MAÑANA,1
20000020,Daniela Valentina,Ramos Condori,OFICIAL,TARDE,2
20000021,Roberto Carlos,Perez Sanchez,GUARDIA,NOCHE,3
20000022,Eduardo Jorge,Alves Medina,SUBOFICIAL,MAÑANA,1
20000023,Fernando Luis,Pinto Acosta,GUARDIA,TARDE,2
20000024,Andres Miguel,Bravo Ibarra,OFICIAL,NOCHE,3
20000025,Carlos Alberto,Vera Espinoza,GUARDIA,MAÑANA,1
20000026,Mario Antonio,Solis Contreras,SUBOFICIAL,TARDE,2
20000027,Raul Humberto,Medina Muñoz,GUARDIA,NOCHE,3
20000028,Victor Hugo,Palma Rojas,OFICIAL,MAÑANA,1
20000029,Diego Fernando,Caro Navarrete,GUARDIA,TARDE,2
20000030,Juan Pablo,Fuentes Villalobos,SUBOFICIAL,NOCHE,3
