vis_nombre,vis_documento,vis_preso_id,vis_fecha,vis_hora
Maria Gomez Lopez,30000001,1,2026-06-01,09:00:00
Jose Rodriguez Torres,30000002,1,2026-06-01,10:00:00
Ana Martinez Vargas,30000003,2,2026-06-01,09:30:00
Luis Hernandez Castro,30000004,2,2026-06-02,10:30:00
Carmen Jimenez Leon,30000005,3,2026-06-02,11:00:00
Pedro Diaz Suarez,30000006,3,2026-06-03,09:00:00
Rosa Reyes Flores,30000007,4,2026-06-03,10:00:00
Antonio Cruz Huanca,30000008,4,2026-06-04,11:30:00
Elena Morales Mamani,30000009,5,2026-06-04,09:00:00
Francisco Romero Condori,30000010,5,2026-06-05,10:00:00
Teresa Torres Quispe,30000011,6,2026-06-05,11:00:00
Manuel Flores Paredes,30000012,6,2026-06-06,09:30:00
Dolores Vega Vargas,30000013,7,2026-06-06,10:30:00
Rafael Chavez Castro,30000014,7,2026-06-07,11:00:00
Pilar Mendez Leon,30000015,8,2026-06-07,09:00:00
Alberto Gutierrez Suarez,30000016,8,2026-06-08,10:00:00
Esperanza Herrera Flores,30000017,9,2026-06-08,11:30:00
Ignacio Salinas Huanca,30000018,9,2026-06-09,09:00:00
Concepcion Ramos Mamani,30000019,10,2026-06-09,10:00:00
Joaquin Perez Condori,30000020,10,2026-06-10,11:00:00
Amparo Alves Quispe,30000021,1,2026-06-10,09:30:00
Santiago Pinto Paredes,30000022,2,2026-06-11,10:30:00
Beatriz Bravo Vargas,30000023,3,2026-06-11,11:00:00
Enrique Vera Castro,30000024,4,2026-06-12,09:00:00
Graciela Solis Leon,30000025,5,2026-06-12,10:00:00
Arturo Medina Suarez,30000026,6,2026-06-13,11:30:00
Josefa Palma Flores,30000027,7,2026-06-13,09:00:00
Ernesto Caro Huanca,30000028,8,2026-06-14,10:00:00
Mercedes Fuentes Mamani,30000029,9,2026-06-14,11:00:00
Octavio Villalobos Condori,30000030,10,2026-06-15,09:30:00
