preso_id,preso_nombres,preso_apellidos,preso_delito,total_incidentes
14,Cesar,Lopez Ramirez,Concierto para delinquir,24
99,Dario,Sanchez Molina,Concierto para delinquir,22
147,Maria,Herrera Torres,Estafa,22
52,Paola,Cardenas Ramirez,Falsedad documental,22
43,Ferney,Ruiz Montoya,Homicidio,21
70,Diana,Mendoza Molina,Fraude procesal,21
8,Camilo,Diaz Lozano,Porte ilegal de armas,21
4,Monica,Cruz Aguilar,Extorsion,21
72,Carolina,Torres Bedoya,Trafico de estupefacientes,20
75,Andres,Parra Rodriguez,Abuso sexual,20
